abstract,keywords
"© 2018 Elsevier LtdComputational fluid dynamics was applied for sorption enhanced steam methane reforming (SESMR) operating in a circulating fluidized bed (CFB) riser. The solid mixtures consisted of Ni-based catalyst and CaO sorbent. The aim of study was to design a proper pilot-scale CFB riser which produced hydrogen (H2) with both high purity and high flux. The design parameters and the reaction parameters were examined with 2k full factorial design. The significances of each parameter were analyzed by analysis of variance. Using the optimum result, the highest H2 purity reached 98.58% in dry basis accompanied with the highest H2 flux of 0.301 kg/m2 s. The hydrodynamics of this optimum case showed that SESMR was nearly completed since 5.0 m height because axial and radial distributions of solid were well developed without excessive segregation between catalyst and sorbent. Thus, the H2 purity and the H2 flux approached fully developed within the riser height.","['Circulating fluidized bed', 'Computational fluid dynamics', 'Multiphase flow models', 'Riser', 'Sorption enhanced steam methane reforming']"
"© 2018 Elsevier B.V. A superhydrophobic/superoleophilic mesh was successfully prepared in a simple and environmentally friendly process by coating with fluoroalkylsilane-modified natural rubber-encapsulated silica latex (FAS-modified NR/SiO 2 ). TEM images confirmed the formation of a core-shell morphology, in which the rubber core was fully covered by a silica shell. This improved the thermal stability of the composites. Coating with FAS-modified NR/SiO 2 enhanced both the hydrophobicity and surface roughness of the mesh. The depth profile of the XPS spectra revealed the presence of fluoroalkylsilane on the superhydrophobic mesh and Ar gas ion etching confirmed migration of the fluoroalkylsilane, SiO 2 and carbon to the mesh surface. SEM and AFM results quantified the surface roughness of the coated mesh. Meshes coated with FAS-modified NR/SiO 2 exhibited superhydrophobic/superoleophilic properties. Surfaces coated with these encapsulated particles were successfully applied to oil/water separation. They exhibited a separation efficiency of up to 100% and were reusable across 30 cycles.","['Encapsulation', 'Fluoroalkylsilane', 'Natural rubber', 'Oil/water separation superhydrophobic/superoleophilic mesh']"
"© 2018 Elsevier B.V. A label-free electrochemical DNA sensor based on pyrrolidinyl peptide nucleic acid (acpcPNA)-immobilized on a paper-based analytical device (PAD) was developed. Unlike previous PNA-based electrochemical PAD (ePAD) sensors where the capture element was placed directly on the electrode, acpcPNA was covalently immobilized onto partially oxidized cellulose paper allowing regeneration by simple PAD replacement. As an example application, a sensor probe was designed for Mycobacterium tuberculosis (MTB) detection. The ePAD DNA sensor was used to determine a synthetic 15-base oligonucleotide of MTB by measuring the fractional change in the charge transfer resistance (R ct ) obtained from electrochemical impedance spectroscopy (EIS). The R ct of [Fe(CN) 6 ] 3-/4- before and after hybridization with the target DNA could be clearly distinguished. Cyclic voltammetry (CV) was used to verify the EIS results, and showed an increase in peak potential splitting in a similar stepwise manner for each immobilization step. Under optimal conditions, a linear calibration curve in the range of 2–200 nM and the limit of detection 1.24 nM were measured. The acpcPNA probe exhibited very high selectivity for complementary oligonucleotides over single-base-mismatch, two-base-mismatch and non-complementary DNA targets due to the conformationally constrained structure of the acpcPNA. Moreover, the ePAD DNA sensor platform was successfully applied to detect PCR-amplified MTB DNA extracted from clinical samples. The proposed paper-based electrochemical DNA sensor has potential to be an alternative device for low-cost, simple, label-free, sensitive and selective DNA sensor.","['acpcPNA', 'Electrochemical impedance spectroscopy', 'Mycobacterium tuberculosis', 'Paper-based electrochemical DNA biosensor']"
"© 2018, Czestochowa University of Technology. All rights reserved.This paper aims to develop an approach to identify optimal fleet size under uncertainty and to identify important factors affecting transportation performance. The methodologies used in this paper are two folded. The first methodology is to develop a simulation model that allows manager to evaluate the impact of having different number of trailers on delivery and cost in order to identify the optimal fleet size. The second methodology is to use a Design of experiment (DOE) together with the simulation model to identify important factors that affect transportation performances. The result shows that the company should hire 16 trailers, which will reduce the delivery delay from 14% to 0.02%. Furthermore, it is found that variation in demand has a strong impact on late delivery and cost. There is also an interaction between demand variation and transportation time variation.","['Design of experiment', 'Optimal fleet size', 'Outsourcing', 'Simulation modelling', 'Transportation contract', 'Transportation management', 'Variation']"
"© 2018 Elsevier B.V.Ornithine transcarbamylase deficiency (OTCD) is an X-linked urea cycle disorder affecting both males and females. Hemizygous males commonly present with severe hyperammonemic encephalopathy during the neonatal period. Heterozygous females have great phenotypic variability. The majority of female patients can manifest later in life or have unrecognized symptoms, making the diagnosis of OTCD in females very challenging. Here we report on three unrelated Thai female cases with OTCD presenting with different manifestations including aggressive behavior, acute liver failure and severe encephalopathy. Whole exome sequencing successfully identified disease-causing mutations in all three cases including two novel ones: the c.209_210delAA (p.Lys70Argfs*17) and the c.850T>A (p.Tyr284Asn). This study affirms variable symptoms in female patients with OTCD and emphasizes the importance of early recognition and prompt management for favorable outcomes. In addition, identification of two novel causative variants expands the genotypic spectrum of OTC.","['Female', 'Hyperammonemia', 'Novel mutations', 'Ornithine transcarbamylase deficiency', 'OTC']"
"© 2018 IEEE.Predicting court judgement has gained growing attention over the past years. Prior attempts used traditional prediction techniques based on Bag of words (BoW), where the order of words is discarded, resulting in low accuracy. In this paper, we propose a prediction model of criminal cases from Thai Supreme Court using End-To-End Deep Learning Neural Networks. Our model imitates a process of legal interpretation, whereby recurrent neural networks read the fact from an input case and compare them against relevant legal provisions with the attention mechanism. The model's output shows if a person is guilty of a crime according to the fact and laws. After the performance test, we find that our model could yield the higher F1 than traditional text classification techniques including Naive Bayes and SVM. In addition, we innovate the open dataset called 'Thai Supreme Court Cases (TSCC)' that was compiled from many decades of Thai Supreme Court criminal judgements. It features the text of fact expertly extracted from each judgement, textual provisions from Thai Criminal Code, and binary-format labels following the theoretical criminal law structure. This dataset is useful for achieving judgement predicting task together with emulating actual criminal case trial.","['Attention mechanism', 'Bi-directional GRU', 'criminal law', 'Deep Learning', 'predicting judgement', 'Thai Supreme Court']"
"© 2018The oxide layers of regular nanotubes structure were obtained on the surface of Ti–Zr alloys (Ti-6Al-4V-χZr (χ = 0, 20, 30, 40, 51)) by anodization. X-ray photoelectron spectroscopy (XPS), scanning electron microscopy (SEM), energy dispersive X-ray spectroscopy(EDX) were used to characterize the morphology and composition of the nanotubes oxidized layers. The tribological property of the oxidized layers was evaluated using ball-on-disc wear tester. Neat microstructures can be obtained on all samples. With the addition of zirconium to the Ti-6Al-4V, the anodic oxidation is relatively intense, and the wear resistance of Ti-6Al-4V can be enhanced.","['Anodization', 'Ti–Zr alloy', 'Wear resistance']"
"© 2018 IEEE.Nowadays, misdiagnoses account for a significant portion of medical errors [1]. This is due to the fact that each physician's diagnosis is different depending on the physician's knowledge, skill, and experience. In several cases, physicians may ignore uncommon diseases. Also, after the diagnosis, the physician has to provide ICD-10-CM code. This is a difficult process for most (if not all) physicians. We propose a predictive model for classifying disease from symptoms by applying text mining technique. Our research technique allows physician to diagnose and to access an ICD-10-CM code directly from symptoms. Our models are based on several classifiers such as Decision Tree, Naïve Bayes, Support Vector Machine, and Neural Network. Models from each classifier were compared using training time, predicting time, Receiver Operating Characteristic (ROC) curve, True Positive Rate (TPR), False Positive Rate (FPR), precision and accuracy. The result suggests that Neural Network gives the best TPR at 89.03%.","['Classification', 'Data preparation', 'Disease', 'ICD-10-CM', 'Symptom', 'Text mining']"
"© 2018 Association for Computing Machinery.Understanding in consumer behavior is an important task in the field of marketing. Dentsu's AISAS model is a model that has been proposed to describe consumer behavior. The model defines reaction when the consumer has seen advertising into five stages: attention, interest, search, action, and share. In this paper, advertisement text datasets from Facebook were labelled as the stages of AISAS model and learned to be classified by machine learning algorithms. Nevertheless, like many other real-world data, our dataset had imbalanced class distribution. The classifier algorithms tend to predict mostly the majority class. To overcome this problem, synthetic minority over-sampling technique (SMOTE) was adopted and also combined with chi-square based feature selection technique. Varieties of feature sizes based on various classifier algorithms were compared. In the appropriate feature size, SMOTE could improve the classification performance in terms of recall and F1 score.","['AISAS model', 'Feature selection', 'SMOTE']"
"© 2018. The American Astronomical Society. All rights reserved.A new class of quiescent galaxies harboring possible AGN-driven winds has been discovered using spatially resolved optical spectroscopy from the ongoing SDSS-IV MaNGA survey. These galaxies, termed ""red geysers,"" constitute 5%-10% of the local quiescent population and are characterized by narrow bisymmetric patterns in ionized gas emission features. Cheung et al. argued that these galaxies host large-scale AGN-driven winds that may play a role in suppressing star formation at late times. In this work, we test the hypothesis that AGN activity is ultimately responsible for the red geyser phenomenon. We compare the nuclear radio activity of the red geysers to a matched control sample with similar stellar mass, redshift, rest-frame NUV - r color, axis ratio, and presence of ionized gas. We have used the 1.4 GHz radio continuum data from the VLA FIRST survey to stack the radio flux from the red geyser and control samples. In addition to a three times higher FIRST detection rate, we find that red geysers have a 5σ higher level of average radio flux than control galaxies. After restricting to rest-frame NUV - r color >5 and checking mid-IR WISE photometry, we rule out star formation contamination and conclude that red geysers are associated with more active AGNs. Red geysers and a possibly related class with disturbed Hα emission account for 40% of all radio-detected red galaxies with log (M ∗/M o) < 11. Our results support a picture in which episodic AGN activity drives large-scale, relatively weak ionized winds that may provide a feedback mechanism for many early-type galaxies","['galaxies: evolution', 'galaxies: formation', 'galaxies: general']"
