0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Circulating fluidized bed,Computational fluid dynamics,Multiphase flow models,Riser,Sorption enhanced steam methane reforming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Encapsulation,Fluoroalkylsilane,Natural rubber,Oil/water separation superhydrophobic/superoleophilic mesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acpcPNA,Electrochemical impedance spectroscopy,Mycobacterium tuberculosis,Paper-based electrochemical DNA biosensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Design of experiment,Optimal fleet size,Outsourcing,Simulation modelling,Transportation contract,Transportation management,Variation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,Hyperammonemia,Novel mutations,Ornithine transcarbamylase deficiency,OTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attention mechanism,Bi-directional GRU,criminal law,Deep Learning,predicting judgement,Thai Supreme Court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anodization,Ti–Zr alloy,Wear resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classification,Data preparation,Disease,ICD-10-CM,Symptom,Text mining,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AISAS model,Feature selection,SMOTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
galaxies evolution,galaxies formation,galaxies general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apocynaceae,Asclepiadoideae,Eastern thailand,Open sandy area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2D materials,graphitic carbon nitride,heterostructured composites,hydrogen evolution,photocatalysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biodiesel,Cavitation reactor,Homogenizer reactor,Ultrasonic reactor,Yield efficiency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASEAN,GMM,Growth,Profitability,Size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced glycation end-products,Boesenbergia rotunda,Diabetes,Methylglyoxal,Pinocembrin,Structure-activity relationship,α-glucosidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel cell,molecular dynamics simulations,proton conductivity,sulfonated poly(ether ether ketone) membrane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCVA,Natural frequency,Panel method,Quasi-elliptic flow path estimation method,TLCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antifungal,Bacillus,Catalase,Chili,Colletotrichum,Tomato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ansible,Association rules,Data mining,GitHub,Pull Request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classifiers technique,Intrusion Detection System,Machine Learning,NSL-KDD,Performance Analysis,Supervised Learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alternative medicine,Diabetes,Fermentation,Fermented foods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charge separators,g-C3N4composite,hydrogen,photocatalysis,seawater splitting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Character Controller,Deep Learning,Mocap,Neural Network,Simulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inverted pendulum on cart,Nonlinear model predictive control,Nonlinear systems,Optimal control,State observer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
