abstract,keywords,country
"We show evidence of particle acceleration at GEV energies associated directly with protons from the prompt emission of a long-duration M6-class solar flare on July 17, 2023, rather than from protons acceleration by shocks from its associated Coronal Mass Ejection (CME), which erupted with a speed of 1342 km/s. Solar Energetic Particles (SEP) accelerated by the blast have reached Earth, up to an almost S3 (strong) category of a radiation storm on the NOAA scale.
Also, we show a temporal correlation between the fast rising of GOES-16 proton and muon excess at ground level in the count rate of the New-Tupi muon detector at the central SAA region.
A Monte Carlo spectral analysis based on muon excess at New-Tupi is consistent with the acceleration of electrons and protons (ions) up to relativistic energies (GeV energy range) in the impulsive phase of the flare. In addition, we present another two marginal particle excesses (with low confidence) at ground-level detectors in correlation with the solar flare prompt emission.","['sun:activity', 'high-speed stream', 'cosmic rays modulation']",['Brazil']
"Building open-ended learning agents involves challenges in pre-trained language model (LLM) and reinforcement learning (RL) approaches. LLMs struggle with context-specific real-time interactions, while RL methods face efficiency issues for exploration. To this end, we propose OpenContra, a co-training framework that cooperates LLMs and GRL to construct an open-ended agent capable of comprehending arbitrary human instructions.
The implementation comprises two stages: (1) fine-tuning an LLM to translate human instructions into structured goals, and curriculum training a goal-conditioned RL policy to execute arbitrary goals; (2) collaborative training to make the LLM and RL policy learn to adapt each, achieving open-endedness on instruction space.
We conduct experiments on Contra, a battle royale FPS game with a complex and vast goal space.
The results show that an agent trained with OpenContra comprehends arbitrary human instructions and completes goals with a high completion ratio, which proves that OpenContra may be the first practical solution for constructing open-ended embodied agents.","['Machine', 'Learning', 'ICML']",[]
"In the wake of large language models, there has been a resurgence of claims and questions about the Turing test and its value for AI, which are reminiscent of decades of practical “Turing” tests. If AI were quantum physics, by now several “Schrödinger’s” cats could have been killed. Better late than never, it is time for a historical reconstruction of Turing’s beautiful thought experiment. In this paper I present a wealth of evidence, including new archival sources, give original answers to several open questions about Turing’s 1950 paper, and address the core question of the value of Turing’s test.","['Alan', 'Turing', 'Turing test', 'Thought experiment', 'Foundations of', 'AI & computer science', 'Galileo', 'Galilei', 'History of science', 'History of', 'AI']",['Brazil']
"Online recruitment platforms typically employ Person-Job Fit models in the core service that automatically match suitable job seekers with appropriate job positions. While existing works leverage historical or contextual information, they often disregard a crucial aspect: job seekers’ social relationships in professional networks. This paper emphasizes the importance of incorporating professional networks into the Person-Job Fit model. Our innovative approach consists of two stages: (1) defining a Workplace Heterogeneous Information Network (WHIN) to capture heterogeneous knowledge, including professional connections and pre-training representations of various entities using a heterogeneous graph neural network; (2) designing a Contextual Social Attention Graph Neural Network (CSAGNN) that supplements users’ missing information with professional connections’ contextual information. We introduce a job-specific attention mechanism in CSAGNN to handle noisy professional networks, leveraging pre-trained entity representations from WHIN. We demonstrate the effectiveness of our approach through experimental evaluations conducted across three real-world recruitment datasets from LinkedIn, showing superior performance compared to baseline models.","['Person-Job', 'Fit', 'Heterogeneous', 'Information', 'Network', 'Graph', 'Neural', 'Network']",['China']
"The prediction of tumor progression and chemotherapy response has been recently tackled exploiting Tumor Infiltrating Lymphocytes (TILs) and the nuclear protein Ki67 as prognostic factors.
Recently, deep neural networks (DNNs) have been shown to achieve top results in estimating Ki67 expression and simultaneous determination of intratumoral TILs score in breast cancer cells. However,
in the last ten years the extraordinary progress induced by deep models proliferated
at least as much as their resource demand.
The exorbitant computational costs required to query (and in some cases also to store) a deep model represent a strong limitation in resource-limited contexts, like that of IoT-based applications to support healthcare personnel.
To this end, we propose a resource consumption-aware DNN for the effective estimate of the percentage of Ki67-positive cells in breast cancer screenings. Our approach reduced up to 75%percent7575\%75 % and 89%percent8989\%89 % the usage of memory and disk space respectively, up to 1.5×1.5\times1.5 × the energy consumption, and preserved or improved the overall accuracy of a benchmark state-of-the-art solution. Encouraged by such positive results, we developed and structured the adopted framework so as to allow its general purpose usage, along with a public software repository to support its usage.","['Tumor infiltrating lymphocytes', 'Ki67 protein', 'Resource-limited learning', 'Resource-limited devices', 'DNN compression', 'Deep learning.']",['Italy']
"The potential for augmenting the segmentation of brain tumors through the use of few-shot learning is vast. Although several deep learning networks (DNNs) demonstrate promising results in terms of segmentation, they require a substantial quantity of training data in order to produce suitable outcomes. Furthermore, a major issue faced by most of these models is their ability to perform well when faced with unseen classes. To address these challenges, we propose a one-shot learning model for segmenting brain tumors in magnetic resonance images (MRI) of the brain, based on a single prototype similarity score. Leveraging the recently developed techniques of few-shot learning, which involve the utilization of support and query sets of images for training and testing purposes, we strive to obtain a definitive tumor region by focusing on slices that contain foreground classes. This approach differs from other recent DNNs that utilize the entire set of images. The training process for this model is carried out iteratively, with each iteration involving the selection of random slices that contain foreground classes from randomly sampled data as the query set, along with a different random slice from the same sample as the support set. In order to distinguish the query images from the class prototypes, we employ a metric learning-based approach that relies on non-parametric thresholds. We employ the multimodal Brain Tumor Image Segmentation (BraTS) 2021 dataset, which comprises 60 training images and 350 testing images. The effectiveness of the model is assessed using the mean dice score and mean Intersection over Union (IoU) score. The experimental results demonstrate a dice score of 83.42, which exceeds the performance of other works in the literature. Moreover, the proposed one-shot segmentation model surpasses conventional methods in terms of computational time, memory usage, and the amount of data employed.","['brain tumor', 'magnetic resonance images', 'few-shot learning']",[]
"Let R𝑅Ritalic_R be a finitely generated ℕℕ\mathbb{N}blackboard_N-graded algebra domain over a Noetherian ring and let I𝐼Iitalic_I be a homogeneous ideal of R𝑅Ritalic_R. Given P∈Ass⁡(R/I)𝑃Ass𝑅𝐼P\in\operatorname{Ass}(R/I)italic_P ∈ roman_Ass ( italic_R / italic_I ) one defines the v𝑣vitalic_v-invariant vP⁢(I)subscript𝑣𝑃𝐼v_{P}(I)italic_v start_POSTSUBSCRIPT italic_P end_POSTSUBSCRIPT ( italic_I ) of I𝐼Iitalic_I at P𝑃Pitalic_P as the least c∈ℕ𝑐ℕc\in\mathbb{N}italic_c ∈ blackboard_N such that P=I:f:𝑃𝐼𝑓P=I:fitalic_P = italic_I : italic_f for some f∈Rc𝑓subscript𝑅𝑐f\in R_{c}italic_f ∈ italic_R start_POSTSUBSCRIPT italic_c end_POSTSUBSCRIPT. A classical result of Brodmann [1] asserts that Ass⁡(R/In)Ass𝑅superscript𝐼𝑛\operatorname{Ass}(R/I^{n})roman_Ass ( italic_R / italic_I start_POSTSUPERSCRIPT italic_n end_POSTSUPERSCRIPT ) is constant for large n𝑛nitalic_n. So it makes sense to consider a prime ideal P∈Ass⁡(R/In)𝑃Ass𝑅superscript𝐼𝑛P\in\operatorname{Ass}(R/I^{n})italic_P ∈ roman_Ass ( italic_R / italic_I start_POSTSUPERSCRIPT italic_n end_POSTSUPERSCRIPT ) for all the large n𝑛nitalic_n and investigate how vP⁢(In)subscript𝑣𝑃superscript𝐼𝑛v_{P}(I^{n})italic_v start_POSTSUBSCRIPT italic_P end_POSTSUBSCRIPT ( italic_I start_POSTSUPERSCRIPT italic_n end_POSTSUPERSCRIPT ) depends on n𝑛nitalic_n. We prove that vP⁢(In)subscript𝑣𝑃superscript𝐼𝑛v_{P}(I^{n})italic_v start_POSTSUBSCRIPT italic_P end_POSTSUBSCRIPT ( italic_I start_POSTSUPERSCRIPT italic_n end_POSTSUPERSCRIPT ) is eventually a linear function of n𝑛nitalic_n.
When R𝑅Ritalic_R is the polynomial ring over a field this statement has been proved independently also by Ficarra and Sgroi in their recent preprint [4].","['Associated primes', 'v-invariant']",[]
"Based on the covariant underdamped and overdamped Langevin equations
with Stratonovich coupling to multiplicative noises and the associated
Fokker-Planck equations on Riemannian manifold, we present
the first law of stochastic thermodynamics on the trajectory level.
The corresponding fluctuation theorems are also
established, with the total entropy production of the Brownian particle
and the heat reservoir playing the role of dissipation function.","['Langevin equation', 'Fokker-Planck equation', 'fluctuation theorem', 'Riemannian manifold']",['China']
"Context:The existence of low-mass giants with large amounts of lithium (Li) in their surfaces has challenged stellar evolution for decades. One of the possibilities usually discussed in the literature to explain these Li-rich giants involves the interaction with a close binary companion, a scenario that predicts that, when compared against their non-enriched counterparts, Li-rich giants should preferentially be found as part of binary systems.
Aims:We aim to assemble the largest possible sample of low-mass giants with well-measured Li abundances, to determine with high statistical significance the close binary fractions of Li-rich and Li-normal giants, and thus test the binary interaction scenario for the emergence of Li-rich giants.
Methods:We develop a method that uses radial velocities (RVs) at three different epochs to quantify the degree of RV variability, which we use as a proxy for the presence of a close binary companion. The method is tested and calibrated against samples of known RV standard stars and known spectroscopic binaries. We then assemble a sample of 1418 giants with available RVs from RAVE, GALAH, and Gaia, as well as stellar parameters and Li abundances from GALAH, to which we apply our variability classification. We can determine an evolutionary state for 1030 of these giants. We also compare the results of our RV variability analysis with binarity indicators from the Gaia mission.
Results:When applying our methodology to the control samples, we find that the accuracy of the classification is controlled by the precision of the RVs used in the analysis. For the set of RVs available for the giants, this accuracy is 80-85%. Consistent with seismic studies, the resulting sample of giants contains a fraction of Li-rich objects in the red clump (RC) that is twice as large as that in the first ascent red giant branch (RGB). Among RC giants, the fractions of Li-rich objects with high RV variability and with no RV variability are the same as those for Li-normal objects, but we find some evidence that these fractions may be different for giants in the first-ascent RGB. Analysis of binary indicators in Gaia DR3 shows a smaller fraction of binary giants than our criteria, but no relation can be seen between Li enrichment and binarity either.
Conclusions:Our RV variability analysis indicates that there is no preference for Li-rich giants in the RC to be part of binary systems, thus arguing against a binary interaction scenario for the genesis of the bulk of Li-rich giants at that evolutionary stage. On the other hand, Li-rich giants in the RGB appear to have a small but measurable preference for having close companions, something that deserves further scrutiny with more and better data. Additional measurements of the RVs of these giants at higher RV precision would greatly help in confirming and more robustly quantifying these results.",['stars: abundances – stars: evolution – binaries: general'],[]
"With this paper, we begin a series of studies of extremal problems for estimating distributions of
martingale transforms of bounded martingales. The Bellman functions corresponding to such problems
are pointwise minimal diagonally concave functions on a horizontal strip, satisfying certain given boundary conditions. We describe the basic structures that arise when constructing such functions and present a solution in the case of asymmetric boundary conditions and a sufficiently small width of the strip.","['Bellman function', 'martingale transform', 'diagonally concave function']",[]
