abstract,keyword,country
"We show evidence of particle acceleration at GEV energies associated directly with protons from the prompt emission of a long-duration M6-class solar flare on July 17, 2023, rather than from protons acceleration by shocks from its associated Coronal Mass Ejection (CME), which erupted with a speed of 1342 km/s. Solar Energetic Particles (SEP) accelerated by the blast have reached Earth, up to an almost S3 (strong) category of a radiation storm on the NOAA scale.
Also, we show a temporal correlation between the fast rising of GOES-16 proton and muon excess at ground level in the count rate of the New-Tupi muon detector at the central SAA region.
A Monte Carlo spectral analysis based on muon excess at New-Tupi is consistent with the acceleration of electrons and protons (ions) up to relativistic energies (GeV energy range) in the impulsive phase of the flare. In addition, we present another two marginal particle excesses (with low confidence) at ground-level detectors in correlation with the solar flare prompt emission.","['sun:activity, high-speed stream, cosmic rays modulation']","['Brazil', 'Brazil', 'Brazil']"
"In the wake of large language models, there has been a resurgence of claims and questions about the Turing test and its value for AI, which are reminiscent of decades of practical “Turing” tests. If AI were quantum physics, by now several “Schrödinger’s” cats could have been killed. Better late than never, it is time for a historical reconstruction of Turing’s beautiful thought experiment. In this paper I present a wealth of evidence, including new archival sources, give original answers to several open questions about Turing’s 1950 paper, and address the core question of the value of Turing’s test.","['Alan', 'Turing,', 'Turing test,', 'Thought experiment,', 'Foundations of', 'AI & computer science,', 'Galileo', 'Galilei,', 'History of science,', 'History of', 'AI']",['PauloBrazil']
"Online recruitment platforms typically employ Person-Job Fit models in the core service that automatically match suitable job seekers with appropriate job positions. While existing works leverage historical or contextual information, they often disregard a crucial aspect: job seekers’ social relationships in professional networks. This paper emphasizes the importance of incorporating professional networks into the Person-Job Fit model. Our innovative approach consists of two stages: (1) defining a Workplace Heterogeneous Information Network (WHIN) to capture heterogeneous knowledge, including professional connections and pre-training representations of various entities using a heterogeneous graph neural network; (2) designing a Contextual Social Attention Graph Neural Network (CSAGNN) that supplements users’ missing information with professional connections’ contextual information. We introduce a job-specific attention mechanism in CSAGNN to handle noisy professional networks, leveraging pre-trained entity representations from WHIN. We demonstrate the effectiveness of our approach through experimental evaluations conducted across three real-world recruitment datasets from LinkedIn, showing superior performance compared to baseline models.","['Person-Job', 'Fit,', 'Heterogeneous', 'Information', 'Network,', 'Graph', 'Neural', 'Network']","['UniversityBeijingChina', 'ResearchBeijingChina', 'UniversityBostonUSA', 'ResearchBeijingChina', 'ResearchBeijingChina', 'ResearchBeijingChina', 'CorporationBeijingChina', 'CorporationBeijingChina', 'CorporationBeijingChina']"
"The prediction of tumor progression and chemotherapy response has been recently tackled exploiting Tumor Infiltrating Lymphocytes (TILs) and the nuclear protein Ki67 as prognostic factors.
Recently, deep neural networks (DNNs) have been shown to achieve top results in estimating Ki67 expression and simultaneous determination of intratumoral TILs score in breast cancer cells. However,
in the last ten years the extraordinary progress induced by deep models proliferated
at least as much as their resource demand.
The exorbitant computational costs required to query (and in some cases also to store) a deep model represent a strong limitation in resource-limited contexts, like that of IoT-based applications to support healthcare personnel.
To this end, we propose a resource consumption-aware DNN for the effective estimate of the percentage of Ki67-positive cells in breast cancer screenings. Our approach reduced up to 75%percent7575\%75 % and 89%percent8989\%89 % the usage of memory and disk space respectively, up to 1.5×1.5\times1.5 × the energy consumption, and preserved or improved the overall accuracy of a benchmark state-of-the-art solution. Encouraged by such positive results, we developed and structured the adopted framework so as to allow its general purpose usage, along with a public software repository to support its usage.","['Tumor infiltrating lymphocytes,', 'Ki67 protein,', 'Resource-limited learning,', 'Resource-limited devices,', 'DNN compression,', 'Deep learning.']","['18MilanItaly20133', '(JRC)IspraItaly', '18MilanItaly20133', 'MilanItaly20072', 'MilanItaly20089', '18MilanItaly20133', 'SystemsRomeItaly', '18MilanItaly20133', 'SystemsRomeItaly']"
"Based on the covariant underdamped and overdamped Langevin equations
with Stratonovich coupling to multiplicative noises and the associated
Fokker-Planck equations on Riemannian manifold, we present
the first law of stochastic thermodynamics on the trajectory level.
The corresponding fluctuation theorems are also
established, with the total entropy production of the Brownian particle
and the heat reservoir playing the role of dissipation function.","['Langevin equation,', 'Fokker-Planck equation, fluctuation theorem,', 'Riemannian manifold']","['China', 'China', 'China']"
"Observatories need to measure and evaluate the scientific output and overall impact of their facilities. An observatory bibliography consists of the papers published using that observatory’s data, typically gathered by searching the major journals for relevant keywords. Recently, the volume of literature and methods by which the publications pool is evaluated have increased. Efficient and standardized procedures are necessary to assign meaningful metadata, enable user-friendly retrieval, and provide the opportunity to derive reports, statistics, and visualizations to impart a deeper understanding of the research output.

In 2021, a group of observatory bibliographers from around the world convened online to continue the discussions presented in Lagerstrom (2015). We worked to extract general guidelines from our experiences, techniques, and lessons learnt. This paper explores the development, application, and current status of telescope bibliographies and future trends. The paper briefly describes the methodologies employed in constructing the databases, along with the various bibliometric techniques used to analyze and interpret them. We explain reasons for non-standardization and why it is essential for each observatory to identify metadata and metrics that are meaningful for them; caution the (over-)use of comparisons among various facilities that are, ultimately, not comparable through bibliometrics; and highlight the benefits of telescope bibliographies, both for researchers within the astronomical community and for stakeholders beyond the specific observatories. There is tremendous diversity in the ways bibliographers track publications and maintain databases, due to parameters such as resources (personnel, time, budget, IT capabilities), type of observatory, historical practices, and reporting requirements to funders and outside agencies. However, there are also common sets of Best Practices. This paper describes some of our results from our collaborative discussions.","['Astronomy', 'Databases (83) —', 'Astronomical reference materials (90) —', 'Observatories (1147) —', 'Telescopes (1689)']","['USA', 'Spain', 'Germany', 'USA', 'USA', 'Japan', 'USA', 'USA', 'USA', 'USA', 'USA', 'USA', 'USA', 'USA']"
"A critical function of an organization is to foster the level of integration (coordination and cooperation) necessary to achieve its objectives. The need to coordinate and motivation to cooperate emerges from the myriad dependencies between an organization’s members and their work. Therefore, to reason about solutions to coordination and cooperation problems requires a robust representation that includes the underlying dependencies. We find that such a representation remains missing from formal organizational models, and we leverage semantics to bridge this gap. Drawing on well-established organizational research and our extensive fieldwork with one of North America’s largest municipalities, (1) we introduce an ontology, formalized in first-order logic, that operationalizes concepts like outcome, reward, and epistemic dependence, and their links to potential integration risks; and (2) present real-world applications of this ontology to analyze and support integration in complex government infrastructure projects. Our ontology is implemented and validated in both Z3 and OWL. Key features of our model include inferable dependencies, explainable coordination and cooperation risks, and actionable insights on how dependency structures within an organization can be altered to mitigate the risks. Conceptualizing real-world challenges like incentive misalignment, free-riding, and subgoal optimization in terms of dependency structures, our semantics-based approach represents a novel method for modelling and enhancing coordination and cooperation. Integrated within a decision-support system, our model may serve as an impactful aid for organizational design and effectiveness. More broadly, our approach underscores the transformative potential of semantics in deriving tangible, real-world value from existing organization theory.","['Index', 'Terms: ', 'Cooperation,', 'Coordination,', 'Dependence,', 'Organization,', 'Ontology,', 'OWL,', 'Z3']",['msf@eil.utoronto.ca']
"We present a general framework for modeling materials using deep neural networks. Material represented by multidimensional characteristics (that mimic measurements) is used to train the neural autoencoder model in an unsupervised manner. The encoder is trying to predict the material parameters of a theoretical model, which is then used in a decoder part. The decoder, using the predicted parameters, reconstructs the input characteristics. The neural model is trained to capture a synthetically generated set of characteristics that can cover a broad range of material behaviors, leading to a model that can generalize on the underlying physics rather than just optimize the model parameters for a single measurement. After setting up the model we prove its usefulness in the complex problem of modeling magnetic materials in the frequency and current (out-of-linear range) domains simultaneously.","['Index', 'Terms: \n\nmaterials modeling, deep neural networks, synthetic data']","['Poland', 'Poland', 'Poland']"
"This paper proposes a computational model for policy administration.
As an organization evolves, new users and resources are gradually
placed under the mediation of the access control model. Each time
such new entities are added, the policy administrator must
deliberate on how the access control policy shall be revised to
reflect the new reality. A well-designed access control model must
anticipate such changes so that the administration cost does not
become prohibitive when the organization scales up. Unfortunately,
past Access Control research does not offer a formal way to quantify
the cost of policy administration. In this work, we propose to
model ongoing policy administration in an active learning
framework. Administration cost can be quantified in terms of query
complexity. We demonstrate the utility of this approach by applying
it to the evolution of protection domains. We also modelled
different policy administration strategies in our framework. This
allowed us to formally demonstrate that domain-based policies have a
cost advantage over access control matrices because of the use of
heuristic reasoning when the policy evolves. To the best of our
knowledge, this is the first work to employ an active learning
framework to study the cost of policy deliberation and demonstrate
the cost advantage of heuristic policy administration.","['Access control, policy administration, active learning,\nquery complexity, heuristics']","['CalgaryCalgaryCanada', 'CalgaryCalgaryCanada']"
"Rollback recovery strategies are well-known in
concurrent and distributed systems. In this context,
recovering from unexpected failures is even more
relevant given the non-deterministic nature of
execution, which means that it is practically
impossible to foresee all possible process interactions.

In this work, we consider a message-passing concurrent
programming language where processes interact through
message sending and receiving, but shared memory
is not allowed. In this context, we design a
checkpoint-based
rollback recovery strategy which does not
need a central coordination.
For this purpose, we extend the language
with three new operators: 𝖼𝗁𝖾𝖼𝗄𝖼𝗁𝖾𝖼𝗄\mathsf{check}sansserif_check,
𝖼𝗈𝗆𝗆𝗂𝗍𝖼𝗈𝗆𝗆𝗂𝗍\mathsf{commit}sansserif_commit, and 𝗋𝗈𝗅𝗅𝖻𝖺𝖼𝗄𝗋𝗈𝗅𝗅𝖻𝖺𝖼𝗄\mathsf{rollback}sansserif_rollback.
Furthermore, our approach
is purely asynchronous, which is an essential
ingredient to develop a source-to-source program
instrumentation implementing a rollback recovery
strategy.","['message-passing concurrency, rollback recovery, checkpointing']",['S/NValenciaSpain46022']
"Demagnetization in ferromagnetic transition metals driven by a
femtosecond laser pulse is a fundamental problem in solid state
physics, and its understanding is essential to the development of
spintronics devices. Ab initio calculation of time-dependent magnetic
moment in the velocity gauge so far has not been successful in
reproducing the large amount of demagnetization observed in
experiments. In this work, we propose a method to incorporate
intraband transitions within the velocity gauge through a convective
derivative in the crystal momentum space. Our results for
transition-element bulk crystals (bcc Fe, hcp Co and fcc Ni) based on
the time-dependent quantum Liouville equation show a dramatic
enhancement in the amount of demagnetization after the inclusion of an
intraband term, in agreement with experiments. We also find that the
effect of intraband transitions to each ferromagnetic material is
distinctly different because of their band structure and spin property
differences. Our finding has a far-reaching impact on understanding
of ultrafast demagnetization.","['femtomagnetism, all optical spin switching, time dependent quantum', 'Liouville equation, m-mixing, circularly-polarized laser field']","['USA', 'USA']"
"In this paper, we elaborate on correctly predicting Échelle spectrograms by employing the fully three-dimensional representation of Snell’s law to model the effects of prisms as cross-dispersers in Échelle spectrographs.
We find that it is not sufficient to simply apply the frequently used trigonometric prism dispersion equation to describe recorded spectra.
This vector equation approach is not limited to a single dispersive element when modeling multi-prism cross-disperser configurations.
Our results help to understand the main levers in an Échelle spectrograph as well as contribute to auto-calibration algorithms for minimizing calibration efforts in daily operation.","['Prism;', 'Echelle;', 'Cross-Disperser;', 'Snell’s law;', 'Sellmeier;', 'QtYETI']","['München', 'work', 'work']"
"The integration of sensorized vessels, enabling real-time data collection and machine learning-driven data analysis marks a pivotal advancement in the maritime industry. This transformative technology not only can enhance safety, efficiency, and sustainability but also usher in a new era of cost-effective and smart maritime transportation in our increasingly interconnected world. This study presents a deep learning-driven anomaly detection system augmented with interpretable machine learning models for identifying performance anomalies in an industrial sensorized vessel, called TUCANA. We Leverage a human-in-the-loop unsupervised process that involves utilizing standard and Long Short-Term Memory (LSTM) autoencoders augmented with interpretable surrogate models, i.e., random forest and decision tree, to add transparency and interpretability to the results provided by the deep learning models. The interpretable models also enable automated rule generation for translating the inference into human-readable rules. Additionally, the process also includes providing a projection of the results using t-distributed stochastic neighbor embedding (t-SNE), which helps with a better understanding of the structure and relationships within the data and assessment of the identified anomalies. We empirically evaluate the system using real data acquired from the vessel TUCANA and the results involve achieving over 80% precision and 90% recall with the LSTM model used in the process. The interpretable models also provide logical rules aligned with expert thinking, and the t-SNE-based projection enhances interpretability. Our system demonstrates that the proposed approach can be used effectively in real-world scenarios, offering transparency and precision in performance anomaly detection.","['Index', 'Terms: ', 'Performance', 'Anomaly', 'Detection,', 'Human-in-the-loop', 'Learning', 'Process,', 'Deep', 'Learning,', 'Interpretable', 'Machine', 'Learning,', 'Sensorized', 'Vessels,', 'Maritime', 'Industry.']","['mahshid.helali@mdu.se', 'lukasz.kulas}@pg.edu.pl']"
"The synergy of language and vision models has given rise to Large Language and Vision Assistant models (LLVAs), designed to engage users in rich conversational experiences intertwined with image-based queries. These comprehensive multimodal models seamlessly integrate vision encoders with Large Language Models (LLMs), expanding their applications in general-purpose language and visual comprehension. The advent of Large Multimodal Models (LMMs) heralds a new era in Artificial Intelligence (AI) assistance, extending the horizons of AI utilization. This paper takes a unique perspective on LMMs, exploring their efficacy in performing image classification tasks using tailored prompts designed for specific datasets. We also investigate the LLVAs zero-shot learning capabilities. Our study includes a benchmarking analysis across four diverse datasets: MNIST, Cats Vs. Dogs, Hymnoptera (Ants Vs. Bees), and an unconventional dataset comprising Pox Vs. Non-Pox skin images. The results of our experiments demonstrate the model’s remarkable performance, achieving classification accuracies of 85%, 100%, 77%, and 79% for the respective datasets without any fine-tuning. To bolster our analysis, we assess the model’s performance post fine-tuning for specific tasks. In one instance, fine-tuning is conducted over a dataset comprising images of faces of children with and without autism. Prior to fine-tuning, the model demonstrated a test accuracy of 55%, which significantly improved to 83% post fine-tuning. These results, coupled with our prior findings, underscore the transformative potential of LLVAs and their versatile applications in real-world scenarios.","['Index', 'Terms: ', 'Large', 'Language', 'Models,', 'Large', 'Multimodal', 'Models,', 'Prompt', 'Engineering,', 'Classification']","['0000-0002-9717-3252', '0000-0002-5145-1990', '0000-0003-1521-5568', '0000-0003-2336-0490', '0000-0001-7389-3274']"
"With rising concerns about the security of IoT devices, network operators need better ways to handle potential risks. Luckily, IoT devices show consistent patterns in how they communicate. But despite previous efforts, it remains unclear how knowledge of these patterns can be made available.
As data marketplaces become popular in different domains, this paper111This manuscript is the full version of our paper [1] accepted to the IEEE/IFIP NOMS 2024 conference. proposes creating a special marketplace focused on IoT cybersecurity. The goal is to openly share knowledge about IoT devices’ behavior, using structured data formats like Manufacturer Usage Description (MUD) files. To make this work, we employ technologies like blockchain and smart contracts to build a practical and secure foundation for sharing and accessing important information about how IoT devices should behave on the network.
Our contributions are two-fold.
(1) We identify the essential features of an effective marketplace for sharing data related to the expected behaviors of IoT devices. We develop a smart contract on the Ethereum blockchain with five concrete functions; and,
(2) We implement a prototype of our marketplace in a private chain environment—our codes are publicly released. We demonstrate how effectively our marketplace functions through experiments involving MUD files from consumer IoT devices. Our marketplace enables suppliers and consumers to share MUD data on the Ethereum blockchain for under a hundred dollars, promoting accessibility and participation.","['Index', 'Terms: \n', 'Decentralized data marketplace,', 'IoT behaviors,', 'MUD files']",['h.habibi@}unsw.edu.au']
"This work introduces the L3Cube-MahaSocialNER dataset, the first and largest social media dataset specifically designed for Named Entity Recognition (NER) in the Marathi language. The dataset comprises 18,000 manually labeled sentences covering eight entity classes, addressing challenges posed by social media data, including non-standard language and informal idioms. Deep learning models, including CNN, LSTM, BiLSTM, and Transformer models, are evaluated on the individual dataset with IOB and non-IOB notations. The results demonstrate the effectiveness of these models in accurately recognizing named entities in Marathi informal text. The L3Cube-MahaSocialNER dataset offers user-centric information extraction and supports real-time applications, providing a valuable resource for public opinion analysis, news, and marketing on social media platforms. We also show that the zero-shot results of the regular NER model are poor on the social NER test set thus highlighting the need for more social NER datasets. The datasets and models are publicly available at https://github.com/l3cube-pune/MarathiNLP","['Named', 'Entity', 'Recognition,', 'Deep', 'Learning,', 'Natural', 'Language', 'Processing,', 'BERT, mBERT,', 'ALBERT,', 'RoBERTa,', 'Muril,', 'Indic bert,', 'Convolutional', 'Neural', 'Network,', 'Bidirectional long short-term memory,', 'Long short-term memory,', 'Marathi', 'NER,', 'Efficient', 'NLP']","['India', 'India', 'India', 'India', 'India']"
"Distributed computing in Blockchain Technology (BCT) hinges on a trust assumption among independent nodes. Without a third-party interface or what’s known as a ‘Blockchain Oracle’, it can’t interact with the external world. This Oracle plays a crucial role by feeding extrinsic data into the Blockchain, ensuring that Smart Contracts operate accurately in real time. The ‘Oracle problem’ arises from the inherent difficulty in verifying the truthfulness of the data sourced by these Oracles. The genuineness of a Blockchain Oracle is paramount, as it directly influences the Blockchain’s reliability, credibility, and scalability. To tackle these challenges, a strategy rooted in Byzantine fault-tolerance ϕitalic-ϕ\phiitalic_ϕ is introduced. Furthermore, an autonomous system for sustainability and audibility, built on heuristic detection, is put forth. The effectiveness and precision of the proposed strategy outperformed existing methods using two real-world datasets, aimed to meet the authenticity standards for Blockchain Oracles.","['Index', 'Terms: ', 'Blockchain', 'Oracles,', 'Trust', 'Assumption,', 'Asymmetric', 'Byzantine', 'Quorums,', 'Smart', 'Contracts,', 'Oracle', 'Data', 'Reliability,', 'Blockchain', 'Scalability', 'Solutions,', 'Decentralized', 'Applications (DApps).']","['France', 'France', 'USA']"
"We present a framework to assist therapists and children with autism spectrum disorder in their Applied Behavioral Analysis (ABA) therapy. The framework was designed in collaboration with Spazio Autismo, an autism center in Mantova, Italy. The framework is a first step toward transitioning from the current paper-based to fully digital-supported therapy. We evaluated the framework over four months with 18 children diagnosed with classic autism, ranging from 4 to 7 years old. The framework integrates a mobile app that children and therapists use during the sessions with a backend for managing therapy workflow and monitoring progress. Our preliminary results show that the framework can improve the efficacy of the therapy sessions, reducing non-therapeutic time, increasing patient focus, and quickening the completion of the assigned objectives. It can also support therapists in preparing learning materials, data acquisition, and reporting. Finally, the framework demonstrated improved privacy and security of patients’ data while maintaining reliability.","['Index', 'Terms: \n', 'Autism,', 'Applied', 'Behavioural', 'Analysis,', 'Serious', 'Games,', 'Gamification']","['https://www.solcomantova.it/servizi/autismo/', 'Italy']"
